day,Market
2014/8/15,-0.037562214
2014/8/16,0.079566631
2014/8/17,-0.095039622
2014/8/18,0.181081837
2014/8/19,-0.135581515
2014/8/20,-0.100939414
2014/8/21,-0.038681368
2014/8/22,0.151507905
2014/8/23,0.081551799
2014/8/24,0.00822524
2014/8/25,-0.104322413
2014/8/26,-0.021926453
2014/8/27,0.023093525
2014/8/28,0.013418081
2014/8/29,0.025124099
2014/8/30,0.045831643
2014/8/31,0.084584962
2014/9/1,-0.229967249
2014/9/2,0.127613655
2014/9/3,-0.145470523
2014/9/4,-0.012802245
2014/9/5,0.097216593
2014/9/6,0.143291006
2014/9/7,-0.016200888
2014/9/8,-0.054469217
2014/9/9,-0.197121118
2014/9/10,0.04242597
2014/9/11,0.042237016
2014/9/12,0.032029924
2014/9/13,0.067099278
2014/9/14,0.085561203
2014/9/15,-0.414965635
2014/9/16,0.06598784
2014/9/17,0.105391158
2014/9/18,-0.079993834
2014/9/19,-0.124521679
2014/9/20,0.179841405
2014/9/21,0.088285255
2014/9/22,-0.473203892
2014/9/23,0.290634034
2014/9/24,0.11546968
2014/9/25,-0.139244878
2014/9/26,0.186910645
2014/9/27,0.131782669
2014/9/28,-0.093456764
2014/9/29,-0.190094712
2014/9/30,-0.004467246
2014/10/1,-0.107268695
2014/10/2,0.141637179
2014/10/3,0.22863949
2014/10/4,-0.029543739
2014/10/5,-0.200576665
2014/10/6,-0.082316688
2014/10/7,-0.088602885
2014/10/8,0.051146323
2014/10/9,-0.127822039
2014/10/10,0.092841101
2014/10/11,0.028936521
2014/10/12,0.156441374
2014/10/13,-0.061504247
2014/10/14,0.050701092
2014/10/15,-0.02745247
2014/10/16,0.151021103
2014/10/17,-0.076829429
2014/10/18,0.169810664
2014/10/19,-0.131070293
2014/10/20,0.028052451
2014/10/21,-0.006151537
2014/10/22,-0.19322095
2014/10/23,-0.055342963
2014/10/24,0.21637498
2014/10/25,0.066276047
2014/10/26,-0.012740914
2014/10/27,-0.131451279
2014/10/28,-0.000706483
2014/10/29,-0.015051883
2014/10/30,-0.012798386
2014/10/31,0.198813955
2014/11/1,0.004673263
2014/11/2,0.065701972
2014/11/3,-0.13134704
2014/11/4,-0.074830971
2014/11/5,-0.050413132
2014/11/6,0.123369362
2014/11/7,0.047498559
2014/11/8,0.042071146
2014/11/9,0.080069683
2014/11/10,-0.11523635
2014/11/11,-0.036582732
2014/11/12,0.063321415
2014/11/13,-0.109739806
2014/11/14,0.072626947
2014/11/15,0.10694492
2014/11/16,-0.140509847
2014/11/17,-0.057244783
2014/11/18,0.068476952
2014/11/19,-0.211326395
2014/11/20,0.16188585
2014/11/21,0.054753993
2014/11/22,-0.076443466
2014/11/23,0.163496173
2014/11/24,-0.024110274
2014/11/25,-0.031050682
2014/11/26,0.004382576
2014/11/27,-0.425791
2014/11/28,0.205211843
2014/11/29,-0.045639754
2014/11/30,0.000401593
2014/12/1,-0.018472409
2014/12/2,0.211507259
2014/12/3,-0.002080086
2014/12/4,-0.216682287
2014/12/5,0.112796217
2014/12/6,0.090975455
2014/12/7,0.029868777
2014/12/8,-0.423141647
2014/12/9,0.364293563
2014/12/10,-0.24977333
2014/12/11,-0.017338946
2014/12/12,-0.088053468
2014/12/13,0.176826176
2014/12/14,0.047147708
2014/12/15,-0.306512923
2014/12/16,0.058724135
2014/12/17,0.454032509
2014/12/18,0.059477639
2014/12/19,0.008238159
2014/12/20,-0.107210634
2014/12/21,0.264190328
2014/12/22,-0.348673207
2014/12/23,0.053490307
2014/12/24,0.056883697
2014/12/25,0.052130491
2014/12/26,0.046583174
2014/12/27,-0.086898098
2014/12/28,0.148189517
2014/12/29,-0.235277238
2014/12/30,0.147343793
2014/12/31,-0.121923577
2015/1/1,0.028454745
2015/1/2,0.015073404
2015/1/3,0.097336001
2015/1/4,-0.196623428
2015/1/5,-0.054419354
2015/1/6,-0.006110124
2015/1/7,0.142165958
2015/1/8,0.044933313
2015/1/9,0.009868548
2015/1/10,-0.054543179
2015/1/11,0.020229445
2015/1/12,-0.125613153
2015/1/13,-0.121332222
2015/1/14,0.103601391
2015/1/15,-0.236053584
2015/1/16,0.300185487
2015/1/17,0.184542055
2015/1/18,-0.095607937
2015/1/19,0.010812734
2015/1/20,-0.093600392
2015/1/21,0.093532913
2015/1/22,0.117184305
2015/1/23,-0.057865153
2015/1/24,0.04478084
2015/1/25,-0.063689435
2015/1/26,0.046654026
2015/1/27,-0.017983521
2015/1/28,-0.097255864
2015/1/29,-0.011237464
2015/1/30,-0.05497841
2015/1/31,0.053179644
2015/2/1,-0.007940066
2015/2/2,0.037811297
2015/2/3,0.10660236
2015/2/4,-0.129660199
2015/2/5,0.005177166
2015/2/6,-0.00019272
2015/2/7,-0.09992285
2015/2/8,0.012200282
2015/2/9,0.030687102
2015/2/10,0.10795327
2015/2/11,-0.062336106
2015/2/12,0.108635478
2015/2/13,0.03300028
2015/2/14,-0.030478594
2015/2/15,0.064872707
2015/2/16,-0.098552033
2015/2/17,0.054923192
2015/2/18,-0.14549821
2015/2/19,0.064850917
2015/2/20,-0.003970458
2015/2/21,0.157280453
2015/2/22,-0.227155089
2015/2/23,0.109020461
2015/2/24,-0.096516656
2015/2/25,0.126473405
2015/2/26,-0.070243124
2015/2/27,-0.105704397
2015/2/28,0.082302287
2015/3/1,-0.016749278
2015/3/2,-0.044434461
2015/3/3,0.067236371
2015/3/4,0.077494489
2015/3/5,-0.143231747
2015/3/6,-0.130366627
2015/3/7,0.021382509
2015/3/8,0.152020914
2015/3/9,-0.093542076
2015/3/10,-0.059534006
2015/3/11,0.063501145
2015/3/12,0.173931198
2015/3/13,-0.102825098
2015/3/14,0.109695402
2015/3/15,-0.101886322
2015/3/16,0.073636784
2015/3/17,-0.070507797
2015/3/18,-0.031579305
2015/3/19,0.070812432
2015/3/20,0.039207489
2015/3/21,0.050587922
2015/3/22,-0.16733336
2015/3/23,0.013701608
2015/3/24,0.011595839
2015/3/25,-0.170009723
2015/3/26,0.158095604
2015/3/27,0.012165518
2015/3/28,-0.035066396
2015/3/29,0.06803914
2015/3/30,-0.015478548
2015/3/31,-0.001897912
2015/4/1,-0.118769092
2015/4/2,0.149793224
2015/4/3,-0.204553413
2015/4/4,0.227095727
2015/4/5,-0.178941945
2015/4/6,0.141281716
2015/4/7,-0.062447278
2015/4/8,0.084521712
2015/4/9,0.010504554
2015/4/10,-0.007920158
2015/4/11,0.098925692
2015/4/12,0.078874951
2015/4/13,-0.260924961
2015/4/14,0.098010244
2015/4/15,0.028953142
2015/4/16,-0.088919408
2015/4/17,-0.120562092
2015/4/18,0.297159391
2015/4/19,-0.13811065
2015/4/20,0.000450672
2015/4/21,0.020783061
2015/4/22,-0.021643466
2015/4/23,0.094645396
2015/4/24,-0.067551853
2015/4/25,0.148714608
2015/4/26,-0.264339622
2015/4/27,0.09523452
2015/4/28,-0.08677435
